DateTime,Price,Demand,Wind,Solar,Capacity
6/29/25 1:00,26.64,58994,19694,0,74571
6/29/25 2:00,24.04,56603,19734,0,73438
6/29/25 3:00,22.41,54634,18291,0,72137
6/29/25 4:00,21.91,52722,17927,0,72282
6/29/25 5:00,21.74,51733,17342,0,71095
6/29/25 6:00,21.53,51236,16903,0,70506
6/29/25 7:00,21.57,50803,16355,229,70494
6/29/25 8:00,19.22,54630,14967,5588,78613
6/29/25 9:00,15.28,60153,14212,16466,86711
6/29/25 10:00,14.43,63718,12879,21751,88978
6/29/25 11:00,17.43,66625,11298,23882,91051
6/29/25 12:00,20.03,67741,9860,24514,94559
6/29/25 13:00,22.22,70268,8496,24748,93579
6/29/25 14:00,23.96,72728,8024,23525,93882
6/29/25 15:00,25.45,74217,8462,23031,93803
6/29/25 16:00,25.67,74345,9280,22506,94184
6/29/25 17:00,27.32,74220,10141,20998,94288
6/29/25 18:00,29.72,74391,11285,19118,93688
6/29/25 19:00,36.17,73771,12735,15251,94697
6/29/25 20:00,54.87,72690,14222,7131,88574
6/29/25 21:00,65.44,70373,15663,722,83607
6/29/25 22:00,50.88,68741,16862,0,83883
6/29/25 23:00,33.53,66008,18000,0,84299
6/30/25 0:00,28.01,62605,18865,0,83513
6/30/25 1:00,26.64,59177.8088,0,0,0
6/30/25 2:00,24.04,56206.1207,0,0,0
6/30/25 3:00,22.41,53977.4794,0,0,0
6/30/25 4:00,21.91,52748.7399,0,0,0
6/30/25 5:00,21.74,52297.0304,0,0,0
6/30/25 6:00,21.53,52851.2603,0,0,0
6/30/25 7:00,21.57,53920.0607,0,0,0
6/30/25 8:00,19.22,55430.29,0,0,0
6/30/25 9:00,15.28,59248.84,0,0,0
6/30/25 10:00,14.43,63215.9188,0,0,0
6/30/25 11:00,17.43,66136.2827,0,0,0
6/30/25 12:00,20.03,69513.7507,0,0,0
6/30/25 13:00,22.22,72713.5192,0,0,0
6/30/25 14:00,23.96,75765.4897,0,0,0
6/30/25 15:00,25.45,77941.0203,0,0,0
6/30/25 16:00,25.67,78920.1907,0,0,0
6/30/25 17:00,27.32,79256.749,0,0,0
6/30/25 18:00,29.72,79000.9689,0,0,0
6/30/25 19:00,36.17,78046.6409,0,0,0
6/30/25 20:00,54.87,75548.9702,0,0,0
6/30/25 21:00,65.44,72489.1488,0,0,0
6/30/25 22:00,50.88,70110.5996,0,0,0
6/30/25 23:00,33.53,66381.1002,0,0,0
7/1/25 0:00,28.01,62421.0605,0,0,0
